model,pair,scheme,declared,ratio_24h,ratio_72h,ratio_120h,ratio_168h,loglog_slope
Aurora,W4W8_span1,W4W8,False,0.201122,0.171843,0.204236,0.201337,0.0082506
Aurora,W4W8_span2,W4W8,False,0.44152,0.505289,0.60981,0.600018,0.173009
Aurora,W4W8_span3,W4W8,False,0.34837,0.284887,0.291811,0.29958,-0.0848353
Aurora,W8A8_knee,W8A8,False,1.79337,1.71383,1.67811,1.6601,-0.0401584
Aurora,W8A8_span1,W8A8,True,12.6107,9.19429,7.86206,8.00052,-0.251843
Aurora,W8A8_span2,W8A8,False,0.231501,0.397137,0.784972,1.19682,0.827537
Aurora,W8A8_span3,W8A8,False,0.557946,0.402655,0.455984,0.497905,-0.0728058
Aurora,W8A8_sq_knee,W8A8_sq,False,0.972009,0.956533,0.952603,0.946321,-0.013328
Aurora,W8A8_sq_span1,W8A8_sq,False,0.730911,0.663322,0.687549,0.704679,-0.0228563
Aurora,W8A8_sq_span2,W8A8_sq,False,0.776476,0.792027,0.942153,1.11341,0.169186
Aurora,W8A8_sq_span3,W8A8_sq,False,0.272721,0.407294,0.490974,0.624951,0.408015
Stormer,W4W8_span1,W4W8,False,4.77861,3.91286,2.89615,2.63728,-0.311402
Stormer,W4W8_span2,W4W8,False,0.879646,0.63551,0.496127,0.653354,-0.215305
Stormer,W4W8_span3,W4W8,False,1.8427,1.7598,1.65115,1.32952,-0.138939
Stormer,W8A8_span1,W8A8,True,2.10244,2.39872,3.55884,6.64491,0.519388
Stormer,W8A8_span2,W8A8,False,1.88254,2.4539,3.69011,5.97097,0.546841
Stormer,W8A8_span3,W8A8,False,1.70624,1.52496,1.77246,4.2583,0.341107
